Polylines2D,Position X,Position Y
237,-683.618058258149,239.390047361664
238,-681.01805825815,239.390047361664
239,-680.71805825815,239.090047361664
240,-680.71805825815,237.190047361663
241,-681.01805825815,236.890047361663
242,-683.618058258149,236.890047361663
243,-683.918058258149,237.190047361663
244,-683.918058258149,239.090047361664
245,-687.868058258149,239.390047361664
246,-685.26805825815,239.390047361664
247,-684.96805825815,239.090047361664
248,-684.96805825815,237.190047361663
249,-685.26805825815,236.890047361663
250,-687.868058258149,236.890047361663
251,-688.168058258149,237.190047361663
252,-688.168058258149,239.090047361664
253,-692.118058258149,239.390047361664
254,-689.51805825815,239.390047361664
255,-689.21805825815,239.090047361664
256,-689.21805825815,237.190047361663
257,-689.51805825815,236.890047361663
258,-692.118058258149,236.890047361663
259,-692.418058258149,237.190047361663
260,-692.418058258149,239.090047361664
261,-696.368058258149,239.390047361664
262,-693.76805825815,239.390047361664
263,-693.46805825815,239.090047361664
264,-693.46805825815,237.190047361663
265,-693.76805825815,236.890047361663
266,-696.368058258149,236.890047361663
267,-696.668058258149,237.190047361663
268,-696.668058258149,239.090047361664
269,-700.618058258149,239.390047361664
270,-698.01805825815,239.390047361664
271,-697.71805825815,239.090047361664
272,-697.71805825815,237.190047361663
273,-698.01805825815,236.890047361663
274,-700.618058258149,236.890047361663
275,-700.918058258149,237.190047361663
276,-700.918058258149,239.090047361664
277,-704.868058258149,239.390047361664
278,-702.26805825815,239.390047361664
279,-701.96805825815,239.090047361664
280,-701.96805825815,237.190047361663
281,-702.26805825815,236.890047361663
282,-704.868058258149,236.890047361663
283,-705.168058258149,237.190047361663
284,-705.168058258149,239.090047361664
285,-709.118058258149,239.390047361664
286,-706.51805825815,239.390047361664
287,-706.21805825815,239.090047361664
288,-706.21805825815,237.190047361663
289,-706.51805825815,236.890047361663
290,-709.118058258149,236.890047361663
291,-709.418058258149,237.190047361663
292,-709.418058258149,239.090047361664
293,-713.368058258149,239.390047361664
294,-710.76805825815,239.390047361664
295,-710.46805825815,239.090047361664
296,-710.46805825815,237.190047361663
297,-710.76805825815,236.890047361663
298,-713.368058258149,236.890047361663
299,-713.668058258149,237.190047361663
300,-713.668058258149,239.090047361664
301,-717.618058258149,239.390047361664
302,-715.01805825815,239.390047361664
303,-714.71805825815,239.090047361664
304,-714.71805825815,237.190047361663
305,-715.01805825815,236.890047361663
306,-717.618058258149,236.890047361663
307,-717.918058258149,237.190047361663
308,-717.918058258149,239.090047361664
309,-721.868058258149,239.390047361664
310,-719.26805825815,239.390047361664
311,-718.96805825815,239.090047361664
312,-718.96805825815,237.190047361663
313,-719.26805825815,236.890047361663
314,-721.868058258149,236.890047361663
315,-722.168058258149,237.190047361663
316,-722.168058258149,239.090047361664
317,-726.118058258149,239.390047361664
318,-723.51805825815,239.390047361664
319,-723.21805825815,239.090047361664
320,-723.21805825815,237.190047361663
321,-723.51805825815,236.890047361663
322,-726.118058258149,236.890047361663
323,-726.418058258149,237.190047361663
324,-726.418058258149,239.090047361664
325,-730.368058258149,239.390047361664
326,-727.76805825815,239.390047361664
327,-727.46805825815,239.090047361664
328,-727.46805825815,237.190047361663
329,-727.76805825815,236.890047361663
330,-730.368058258149,236.890047361663
331,-730.668058258149,237.190047361663
332,-730.668058258149,239.090047361664
333,-734.618058258149,239.390047361664
334,-732.01805825815,239.390047361664
335,-731.71805825815,239.090047361664
336,-731.71805825815,237.190047361663
337,-732.01805825815,236.890047361663
338,-734.618058258149,236.890047361663
339,-734.918058258149,237.190047361663
340,-734.918058258149,239.090047361664
341,-738.868058258149,239.390047361664
342,-736.26805825815,239.390047361664
343,-735.96805825815,239.090047361664
344,-735.96805825815,237.190047361663
345,-736.26805825815,236.890047361663
346,-738.868058258149,236.890047361663
347,-739.168058258149,237.190047361663
348,-739.168058258149,239.090047361664
349,-743.118058258149,239.390047361664
350,-740.51805825815,239.390047361664
351,-740.21805825815,239.090047361664
352,-740.21805825815,237.190047361663
353,-740.51805825815,236.890047361663
354,-743.118058258149,236.890047361663
355,-743.418058258149,237.190047361663
